  14  33 Si 2   -20.493     0.016   -19.290     3.610   0.000           0.000   0.000
  14  34 Si 2   -19.957     0.014   -19.510     3.110   0.000           0.000   0.000
  14  35 Si 2   -14.360     0.038   -14.760     3.380   0.000          -0.014   0.000
  14  36 Si 2   -12.483     0.123   -13.370     3.130   0.000           0.000   0.000
  14  37 Si 2    -6.580     0.169    -7.950     2.910   0.216           0.121   0.001
  14  38 Si 2    -4.067     0.137    -5.730     2.310   0.234           0.094   0.002
  14  39 Si 2     1.928     0.338     0.880     2.250   0.253           0.024   0.001
  14  40 Si 2     5.467     0.556     4.820     2.330  -0.592           0.143  -0.009
  14  41 Si 2    13.563     1.844     9.780    -0.280  -0.287           0.171  -0.009
  14  42 Si 1    18.434     0.503    12.870    -1.980  -0.321           0.218  -0.017
  14  43 Si 1    26.697     0.699    22.620    -0.580  -0.282           0.130  -0.005
  14  44 Si 1    32.844     0.801    29.170     0.350  -0.263           0.071  -0.003
  14  45 Si 0                        38.440     0.550  -0.255           0.061  -0.004
  14  46 Si 0                        42.280    -1.970   0.023          -0.291  -0.013
  14  47 Si 0                        55.210     1.250  -0.307           0.026   0.001
  14  48 Si 0                        62.620     1.630  -0.398          -0.044   0.005
  14  49 Si 0                        73.260     1.990  -0.406           0.002   0.003
  14  50 Si 0                        81.030     2.130  -0.422           0.035   0.002
  14  51 Si 0                        92.000     2.290  -0.447           0.029   0.001
  14  52 Si 0                        99.170     1.280   0.490          -0.085  -0.023
  14  53 Si 0                       109.510     0.330   0.505          -0.118  -0.033
  14  54 Si 0                       117.750    -0.110   0.531          -0.140  -0.042
  15  23 P  0                        45.660    -0.050   0.000           0.000   0.000
  15  24 P  1    31.997     0.503    33.780     1.660   0.000  -0.015   0.000   0.000
  15  25 P  1    18.872     0.196    20.520     3.010   0.000  -0.015   0.000   0.000
  15  26 P  1    10.973     0.196    11.390     3.730   0.314          -0.037  -0.004
  15  27 P  2    -0.717     0.026     1.050     4.420   0.000  -0.016   0.000   0.000
  15  28 P  2    -7.159     0.003    -6.500     3.650  -0.271           0.081  -0.004
  15  29 P  2   -16.953     0.001   -15.890     2.320  -0.318           0.117  -0.007
  15  30 P  2   -20.201     0.000   -17.430     4.000   0.000           0.000   0.000
  15  31 P  2   -24.441     0.000   -21.940     4.140   0.000           0.000   0.000
  15  32 P  2   -24.305     0.000   -21.750     4.550   0.000           0.000   0.000
  15  33 P  2   -26.337     0.001   -24.000     4.070   0.000           0.000   0.000
  15  34 P  2   -24.558     0.005   -22.780     3.870   0.000           0.000   0.000
  15  35 P  2   -24.858     0.002   -23.460     3.360   0.000           0.000   0.000
  15  36 P  2   -20.251     0.013   -20.420     3.560   0.000           0.000   0.000
  15  37 P  2   -18.994     0.038   -19.440     3.300   0.000           0.000   0.000
  15  38 P  2   -14.758     0.103   -15.190     3.460   0.216           0.061   0.002
